Location,School(s),1/21,1/22
Seminole County - Georgia,Seminole County Schools,Early Release,Closed
Decatur County - Georgia,Decatur County Schools,Early Release,Closed
 Grady County - Georgia,Grady County Schools,Open,Closed
 Thomas County - Georgia,Thomas County Schools,Open,Closed
 Brooks County - Georgia,Brooks County Schools,Early Release,Closed
 Lowndes County - Georgia,Lowndes County Schools,Open,Closed
Cook County - Georgia,Cook County Schools,Early Release,Closed
Colquitt County - Georgia,Colquitt County Schools,Early Release,Closed
Mitchell County - Georgia,Mitchell County School System,Early Release,Closed
Baker County - Georgia,Baker County K-12 School,Early Release,Closed
Miller County - Georgia,Miller County High School,Early Release,Closed
Early County - Georgia,Early County,Early Release,Closed
Tift County - Georgia,Tift County Schools,Early Release,To Be Determined
Worth County - Georgia,Worth County Schools,Closed,Closed
Dougherty County - Georgia,Dougherty County School System,Closed,Closed
Calhoun County - Georgia,Calhoun County,Closed,To Be Determined
Clay County - Georgia,Clay County Public Schools,Closed,Closed
Quitman County - Georgia,Quitman County School District,Closed,Closed
Randolph County - Georgia,Randolph County Schools,Closed,Closed
Terrell County - Georgia,Terrell County School System,Closed,Closed
Lee County - Georgia,Lee County School System,Closed,Closed
Turner County - Georgia,Turner County Schools,Open,Closed
Crisp County - Georgia,Crisp County Schools,Closed,Closed
Echols County - Georgia,Echols County High School,Open,Closed
Clinch County - Georgia,Clinch County School System,Open,Closed
 Ware County - Georgia,Ware County Schools,Early Release,Closed
 Atkinson County - Georgia,Atkinson County Schools,Open,Closed
Lanier County - Georgia,Lanier County Schools,Open,Closed
Berrien County - Georgia,Berrien County Schools,Early Release,Closed
Bacon County - Georgia,Bacon County School District,Early Release,Closed
Coffee County - Georgia,Coffee County Schools,Open,Closed
Irwin County - Georgia,Irwin County School District,Open,To Be Determined
 Ben Hill County - Georgia,Ben Hill County School District,Open,To Be Determined
 Wilcox County - Georgia,Wilcox County School District,Early Release,To Be Determined
 Pulaski County - Georgia,Pulaski County Schools,Early Release,Closed
Bleckley County - Georgia,Bleckley County Schools,Early Release,To Be Determined
Dodge County - Georgia,Dodge County Schools,Early Release,Closed
 Telfair County - Georgia,Telfair County School District,Closed,Closed
 Jeff Davis County - Georgia,Jeff Davis County Schools,Early Release,Closed
Appling County - Georgia,Appling County Schools,Closed,Closed
Tatnall County - Georgia,Tatnall County,Early Release,Closed
Toombs County - Georgia,Toombs County Schools,Early Release,Closed
Montgomery County - Georgia,Montgomery County Schools,Early Release,To Be Determined
Wheeler County - Georgia,Wheeler County Schools,Open,Closed
Laurens County - Georgia,Laurens County School District,Early Release,Closed
Treutlen County - Georgia,Treutlen County Schools,Early Release,Closed
Emanuel County - Georgia,Emanuel County Schools,Early Release,Closed
Candler County - Georgia,Candler County Schools,Early Release,Closed
Evans County - Georgia,Evans County Charter School System,Early Release,Closed
Bulloch County - Georgia,Bulloch County Schools,Open,Closed
Screven County - Georgia,Screven County School System,Open,To Be Determined
Jenkins County - Georgia,Jenkins County School System,Early Release,Closed
Johnson County - Georgia,Johnson County Schools,To Be Determined,To Be Determined
Twigg County - Georgia,Twiggs County Public Schools,To Be Determined,To Be Determined
 Wilkinson County - Georgia,Wilkinson County Schools,To Be Determined,To Be Determined
Washington County - Georgia,Washington County Public Schools,To Be Determined,To Be Determined
Jefferson County - Georgia,Jefferson County School System,Early Release,Closed
Burke County - Georgia,Burke County Public Schools,Early Release,To Be Determined
Richmond County - Georgia,Richmond County School System,To Be Determined,To Be Determined
Glascock County - Georgia,Schools in Glascock County,Early Release,Closed
Jasper County - Georgia,Jasper County Charter System,Closed,To Be Determined
Putnam County - Georgia,Putnam County Charter School System,Early Release,To Be Determined
Baldwin County - Georgia,Baldwin County School District,To Be Determined,To Be Determined
Hancock County - Georgia,Hancock County School District,Early Release,To Be Determined
Taliaferro County - Georgia,Taliaferro County School District,Closed,Closed
Warren County - Georgia,Warren County Schools,Early Release,Closed
McDuffie County - Georgia,McDuffie County School System,Early Release,To Be Determined
Columbia County - Georgia,Columbia County School District,Early Release,To Be Determined
Union County - Georgia,Union County Schools,To Be Determined,To Be Determined
Towns County - Georgia,Towns County Schools,Open,Open
Rabun County - Georgia,Rabun County Schools,Open,To Be Determined
Lumpkin County - Georgia,Lumpkin County School System,To Be Determined,To Be Determined
White County - Georgia,White County School System,To Be Determined,To Be Determined
Habersham County - Georgia,Habersham County School System,To Be Determined,To Be Determined
Stephens County - Georgia,Stephens County School System,To Be Determined,To Be Determined
Banks County - Georgia,Banks County School District,Open,Open
Jackson County - Georgia,Jackson County School System,To Be Determined,To Be Determined
Barrow County - Georgia,Barrow County School System,Open,To Be Determined
 Walton County - Georgia,Walton County School District,To Be Determined,To Be Determined
 Hall County - Georgia,Hall County School District,To Be Determined,To Be Determined
Franklin County - Georgia,Franklin County Schools,To Be Determined,To Be Determined
Hart County - Georgia,Hart County Schools,To Be Determined,To Be Determined
Madison County - Georgia,Madison County School District,Open,To Be Determined
Elbert County - Georgia,Elbert County School District,Early Release,To Be Determined
Newton County - Georgia,Netwon County Schools,Closed,To Be Determined
Clarke County - Georgia,Clarke County School District,Open,To Be Determined
Oconee County - Georgia,Oconee County Schools,To Be Determined,To Be Determined
Oglethorpe County - Georgia,Oglethorpe County Schools,To Be Determined,To Be Determined
Morgan County - Georgia,Morgan County Charter Schools,Early Release,To Be Determined
Greene County - Georgia,Greene County School System,Closed,To Be Determined
Wilkes County - Georgia,Wilkes County Schools,Early Release,To Be Determined
 Lincoln County - Georgia,Lincoln County Schools,Early Release,To Be Determined
Effingham County - Georgia,Effingham County School District,Closed,To Be Determined
Chatham County - Georgia,Savannah-Chatham County Public School System,To Be Determined,To Be Determined
Bryan County - Georgia,Bryan County Schools,Early Release,To Be Determined
Liberty County - Georgia,Liberty County School Systems,Early Release,To Be Determined
Long County - Georgia,Long County School System,To Be Determined,To Be Determined
McIntosh County - Georgia,McIntosh Schools,To Be Determined,To Be Determined
Wayne County - Goergia,Wayne County School System,Closed,Closed
Pierce County - Georgia,Pierce County School District,Early Release,Closed
Glynn County - Georgia,Glynn County Schools,Open,Closed
Brantley County - Georgia,Brantley County School System,Early Release,Closed
Camden County - Georgia,Camden County Schools,Open,Closed
Charlton County - Georgia,Charlton County Schools,Open,Closed
Cobb County - Georgia,Cobb County Schools,Closed,To Be Determined
