School,Location,Primary,Type
Seminole County Schools,Seminole County - Georgia,https://www.seminole.k12.ga.us/live-feed,live-feed
Decatur County Schools,Decatur County - Georgia, https://www.boe.dcboe.com/,pop-up
Grady County Schools, Grady County - Georgia, https://www.grady.k12.ga.us/live-feed,live-feed
Thomas County Schools, Thomas County - Georgia,https://www.facebook.com/thomascountyschools/,facebook
Brooks County Schools, Brooks County - Georgia,https://www.brooks.k12.ga.us/live-feed,live-feed
Lowndes County Schools, Lowndes County - Georgia,https://www.facebook.com/OneLowndes/,facebook
Cook County Schools,Cook County - Georgia,https://www.cook.k12.ga.us/,pop-up
Colquitt County Schools,Colquitt County - Georgia,https://www.colquitt.k12.ga.us/,pop-up
Mitchell County School System,Mitchell County - Georgia,https://www.facebook.com/MitchellCountySchoolSystem/,facebook
Baker County K-12 School,Baker County - Georgia,https://www.facebook.com/bcsschoolk12/,facebook
Miller County High School,Miller County - Georgia,https://www.facebook.com/p/Miller-County-High-School-100095701172598/,facebook
Early County,Early County - Georgia,https://www.early.k12.ga.us/,slides
Tift County Schools,Tift County - Georgia,https://www.facebook.com/tiftschools/,facebook
Worth County Schools,Worth County - Georgia,https://www.facebook.com/worthcountyschools/,facebook
Dougherty County School System,Dougherty County - Georgia,https://www.facebook.com/DoughertyCountySchools/,facebook
Calhoun County,Calhoun County - Georgia,https://www.facebook.com/calhoun.schools/,facebook
Clay County Public Schools,Clay County - Georgia,https://www.facebook.com/clayhawks2/,facebook
Quitman County School District,Quitman County - Georgia,https://www.facebook.com/quitmancountyschooldistrict/,facebook
Randolph County Schools,Randolph County - Georgia,https://www.facebook.com/RandolphCountySchoolsGA/,facebook
Terrell County School System,Terrell County - Georgia,https://www.terrell.k12.ga.us/,website
Lee County School System,Lee County - Georgia,https://www.facebook.com/leecountyschoolsystem/,facebook
Turner County Schools,Turner County - Georgia,https://www.facebook.com/TurnerCountySchools/,facebook
Crisp County Schools,Crisp County - Georgia,https://www.crispschools.org/live-feed,live-feed
Echols County High School,Echols County - Georgia,https://www.facebook.com/p/Echols-County-High-School-100042115752608/,facebook
Clinch County School System,Clinch County - Georgia,https://www.facebook.com/clinchcountyschools/,facebook
Ware County Schools, Ware County - Georgia,https://www.ware.k12.ga.us/,pop-up
Atkinson County Schools, Atkinson County - Georgia,https://www.facebook.com/atcoschools/,facebook
Lanier County Schools,Lanier County - Georgia,https://www.facebook.com/LanierCountySchools/,facebook
Berrien County Schools,Berrien County - Georgia,https://www.facebook.com/p/Berrien-County-Board-of-Education-100063736249973/,facebook
Bacon County School District,Bacon County - Georgia,https://www.bcraiders.com/,pop-up
Coffee County Schools,Coffee County - Georgia,https://www.coffee.k12.ga.us/,pop-up
Irwin County School District,Irwin County - Georgia,https://www.facebook.com/irwincountyschooldistrict/,facebook
Ben Hill County School District, Ben Hill County - Georgia,https://www.facebook.com/@benhillschools.org/,facebook
Wilcox County School District, Wilcox County - Georgia,https://www.wilcox.k12.ga.us/,pop-up
Pulaski County Schools, Pulaski County - Georgia,https://www.pulaskicountyschools.org/apps/news/,live-feed
Bleckley County Schools,Bleckley County - Georgia,https://www.facebook.com/BleckleyCountySchools/,facebook
Dodge County Schools,Dodge County - Georgia,https://www.dodge.k12.ga.us/,pop-up
Telfair County School District, Telfair County - Georgia,https://www.telfairschools.org/,website
Jeff Davis County Schools, Jeff Davis County - Georgia,https://www.facebook.com/JDCountySchools/,facebook
Appling County Schools,Appling County - Georgia,https://www.appling.k12.ga.us/,banner
Tatnall County,Tatnall County - Georgia,https://www.tattnallschools.org/,pop-up
Toombs County Schools,Toombs County - Georgia,https://www.toombscountyschools.org/live-feed,live-feed
Montgomery County Schools,Montgomery County - Georgia,https://www.facebook.com/www.mcboe.net/,facebook
Wheeler County Schools,Wheeler County - Georgia,https://www.facebook.com/wheelercountyschools/,facebook
